arm,seed,run_seed,step,random/n,random/success,random/mean_steps,n_episodes,n_new,wall_time_sec
N,1005,3714635706,0,293,0.0,500.0,6954,6954,252.69957208633423
N,1005,3714635706,40960,293,0.9385665529010239,158.44368600682594,6954,6954,252.69957208633423
N,1005,3714635706,81920,293,0.9078498293515358,163.67576791808872,6954,6954,252.69957208633423
N,1005,3714635706,122880,293,0.8771331058020477,177.93174061433447,6954,6954,252.69957208633423
N,1005,3714635706,163840,293,0.8088737201365188,197.96245733788396,6954,6954,252.69957208633423
N,1005,3714635706,204800,293,0.9453924914675768,151.36518771331058,6954,6954,252.69957208633423
N,1005,3714635706,245760,293,0.9556313993174061,156.7235494880546,6954,6954,252.69957208633423
N,1005,3714635706,286720,293,0.9010238907849829,163.64505119453923,6954,6954,252.69957208633423
N,1005,3714635706,327680,293,0.9283276450511946,158.67576791808872,6954,6954,252.69957208633423
N,1005,3714635706,368640,293,0.8464163822525598,183.259385665529,6954,6954,252.69957208633423
N,1005,3714635706,409600,293,0.9351535836177475,151.43003412969284,6954,6954,252.69957208633423
N,1005,3714635706,450560,293,0.9488054607508533,154.91126279863482,6954,6954,252.69957208633423
N,1005,3714635706,491520,293,0.9453924914675768,153.96587030716722,6954,6954,252.69957208633423
N,1005,3714635706,532480,293,0.9590443686006825,147.7098976109215,6954,6954,252.69957208633423
N,1005,3714635706,573440,293,0.9590443686006825,153.19453924914677,6954,6954,252.69957208633423
N,1005,3714635706,614400,293,0.9453924914675768,149.0,6954,6954,252.69957208633423
N,1005,3714635706,655360,293,0.962457337883959,148.7269624573379,6954,6954,252.69957208633423
N,1005,3714635706,696320,293,0.9180887372013652,157.62116040955632,6954,6954,252.69957208633423
N,1005,3714635706,737280,293,0.9419795221843004,153.63822525597269,6954,6954,252.69957208633423
N,1005,3714635706,778240,293,0.9590443686006825,151.7064846416382,6954,6954,252.69957208633423
N,1005,3714635706,819200,293,0.962457337883959,146.83276450511946,6954,6954,252.69957208633423
N,1005,3714635706,860160,293,0.9010238907849829,161.9965870307167,6954,6954,252.69957208633423
N,1005,3714635706,901120,293,0.9283276450511946,156.37883959044368,6954,6954,252.69957208633423
N,1005,3714635706,942080,293,0.9590443686006825,146.740614334471,6954,6954,252.69957208633423
N,1005,3714635706,983040,293,0.9385665529010239,149.8976109215017,6954,6954,252.69957208633423
N,1005,3714635706,1024000,293,0.9419795221843004,154.19453924914677,6954,6954,252.69957208633423
N,1005,3714635706,1064960,293,0.9453924914675768,156.13651877133105,6954,6954,252.69957208633423
N,1005,3714635706,1105920,293,0.9488054607508533,152.06143344709898,6954,6954,252.69957208633423
N,1005,3714635706,1146880,293,0.9180887372013652,162.05119453924914,6954,6954,252.69957208633423
N,1005,3714635706,1187840,293,0.8976109215017065,168.09215017064847,6954,6954,252.69957208633423
N,1005,3714635706,1228800,293,0.9419795221843004,150.3924914675768,6954,6954,252.69957208633423
N,1003,355198357,0,293,0.0,500.0,7055,7055,253.46570324897766
N,1003,355198357,40960,293,0.9556313993174061,155.1877133105802,7055,7055,253.46570324897766
N,1003,355198357,81920,293,0.9146757679180887,166.16382252559728,7055,7055,253.46570324897766
N,1003,355198357,122880,293,0.9522184300341296,155.76109215017064,7055,7055,253.46570324897766
N,1003,355198357,163840,293,0.9385665529010239,160.8668941979522,7055,7055,253.46570324897766
N,1003,355198357,204800,293,0.9385665529010239,156.4232081911263,7055,7055,253.46570324897766
N,1003,355198357,245760,293,0.9419795221843004,154.38225255972696,7055,7055,253.46570324897766
N,1003,355198357,286720,293,0.9044368600682594,164.63822525597269,7055,7055,253.46570324897766
N,1003,355198357,327680,293,0.9522184300341296,154.3071672354949,7055,7055,253.46570324897766
N,1003,355198357,368640,293,0.8737201365187713,174.46757679180888,7055,7055,253.46570324897766
N,1003,355198357,409600,293,0.9351535836177475,151.7679180887372,7055,7055,253.46570324897766
N,1003,355198357,450560,293,0.9112627986348123,161.6075085324232,7055,7055,253.46570324897766
N,1003,355198357,491520,293,0.9522184300341296,147.63481228668942,7055,7055,253.46570324897766
N,1003,355198357,532480,293,0.962457337883959,148.65870307167236,7055,7055,253.46570324897766
N,1003,355198357,573440,293,0.9453924914675768,154.15358361774744,7055,7055,253.46570324897766
N,1003,355198357,614400,293,0.9556313993174061,146.49488054607508,7055,7055,253.46570324897766
N,1003,355198357,655360,293,0.9453924914675768,148.49488054607508,7055,7055,253.46570324897766
N,1003,355198357,696320,293,0.9556313993174061,149.320819112628,7055,7055,253.46570324897766
N,1003,355198357,737280,293,0.9351535836177475,153.1877133105802,7055,7055,253.46570324897766
N,1003,355198357,778240,293,0.9385665529010239,155.3481228668942,7055,7055,253.46570324897766
N,1003,355198357,819200,293,0.9488054607508533,144.67576791808872,7055,7055,253.46570324897766
N,1003,355198357,860160,293,0.9488054607508533,151.94880546075086,7055,7055,253.46570324897766
N,1003,355198357,901120,293,0.9488054607508533,147.51877133105802,7055,7055,253.46570324897766
N,1003,355198357,942080,293,0.9522184300341296,154.03412969283278,7055,7055,253.46570324897766
N,1003,355198357,983040,293,0.9180887372013652,162.1433447098976,7055,7055,253.46570324897766
