arm,seed,learning_rate,step,E0/n_learnable,E0/success,E0/success_all,E0/mean_steps,E1/n_learnable,E1/success,E1/success_all,E1/mean_steps,E1b/n_learnable,E1b/success,E1b/success_all,E1b/mean_steps,E2/n_learnable,E2/success,E2/success_all,E2/mean_steps,E3a/n_learnable,E3a/success,E3a/success_all,E3a/mean_steps,E3b/n_learnable,E3b/success,E3b/success_all,E3b/mean_steps,E4/n_learnable,E4/success,E4/success_all,E4/mean_steps,E5/n_learnable,E5/success,E5/success_all,E5/mean_steps,n_episodes,n_new,wall_time_sec
N,1,0.0003,0,282,0.0,0.0,35.02836879432624,138,0.0,0.0,33.14492753623188,93,0.0,0.0,33.89247311827957,95,0.0,0.0,33.54736842105263,96,0.0,0.0,48.864583333333336,92,0.0,0.0,39.02173913043478,99,0.0,0.0,28.67676767676768,272,0.025735294117647058,0.021875,46.77205882352941,2267,2267,83.08404278755188
N,1,0.0003,20480,282,0.12411347517730496,0.11666666666666667,233.93971631205673,138,0.08695652173913043,0.08,224.0144927536232,93,0.043010752688172046,0.04,230.38709677419354,95,0.12631578947368421,0.12,222.58947368421053,96,0.13541666666666666,0.13,247.66666666666666,92,0.10869565217391304,0.1,240.2173913043478,99,0.09090909090909091,0.09,196.24242424242425,272,0.11029411764705882,0.09375,238.05514705882354,2267,2267,83.08404278755188
N,1,0.0003,40960,282,0.024822695035460994,0.023333333333333334,181.3581560283688,138,0.007246376811594203,0.006666666666666667,182.2608695652174,93,0.010752688172043012,0.01,181.20430107526883,95,0.0,0.0,175.49473684210525,96,0.010416666666666666,0.01,183.79166666666666,92,0.06521739130434782,0.06,191.22826086956522,99,0.010101010101010102,0.01,158.0909090909091,272,0.011029411764705883,0.009375,184.71323529411765,2267,2267,83.08404278755188
N,1,0.0003,61440,282,0.03900709219858156,0.03666666666666667,203.01418439716312,138,0.007246376811594203,0.006666666666666667,200.4855072463768,93,0.010752688172043012,0.01,203.56989247311827,95,0.031578947368421054,0.03,202.6,96,0.010416666666666666,0.01,208.08333333333334,92,0.03260869565217391,0.03,210.1086956521739,99,0.030303030303030304,0.03,179.74747474747474,272,0.014705882352941176,0.0125,203.08455882352942,2267,2267,83.08404278755188
N,1,0.0003,81920,282,0.024822695035460994,0.023333333333333334,200.74468085106383,138,0.007246376811594203,0.006666666666666667,202.0,93,0.0,0.0,190.36559139784947,95,0.010526315789473684,0.01,189.8842105263158,96,0.010416666666666666,0.01,197.21875,92,0.05434782608695652,0.05,203.44565217391303,99,0.04040404040404041,0.04,168.36363636363637,272,0.025735294117647058,0.021875,216.4264705882353,2267,2267,83.08404278755188
N,1,0.0003,102400,282,0.25177304964539005,0.23666666666666666,364.2269503546099,138,0.2608695652173913,0.24,368.536231884058,93,0.24731182795698925,0.23,360.7741935483871,95,0.2,0.19,348.70526315789476,96,0.16666666666666666,0.16,350.3333333333333,92,0.2717391304347826,0.25,359.4021739130435,99,0.20202020202020202,0.2,312.62626262626264,272,0.35661764705882354,0.303125,397.4117647058824,2267,2267,83.08404278755188
N,1,0.0003,122880,282,0.014184397163120567,0.013333333333333334,202.06737588652481,138,0.014492753623188406,0.013333333333333334,197.96376811594203,93,0.0,0.0,181.67741935483872,95,0.021052631578947368,0.02,197.33684210526314,96,0.010416666666666666,0.01,207.94791666666666,92,0.021739130434782608,0.02,200.6086956521739,99,0.030303030303030304,0.03,187.83838383838383,272,0.011029411764705883,0.009375,193.75,2267,2267,83.08404278755188
N,1,0.0003,143360,282,0.12056737588652482,0.11333333333333333,282.65248226950354,138,0.06521739130434782,0.06,270.8695652173913,93,0.010752688172043012,0.01,250.50537634408602,95,0.05263157894736842,0.05,259.38947368421054,96,0.041666666666666664,0.04,268.9270833333333,92,0.11956521739130435,0.11,275.07608695652175,99,0.050505050505050504,0.05,232.82828282828282,272,0.10294117647058823,0.0875,289.55514705882354,2267,2267,83.08404278755188
N,1,0.0003,163840,282,0.9964539007092199,0.9366666666666666,499.08156028368796,138,1.0,0.92,500.0,93,1.0,0.93,500.0,95,1.0,0.95,500.0,96,1.0,0.96,500.0,92,1.0,0.92,500.0,99,0.98989898989899,0.98,495.020202020202,272,0.9338235294117647,0.79375,485.3272058823529,2267,2267,83.08404278755188
N,1,0.0003,184320,282,0.6914893617021277,0.65,452.9929078014184,138,0.7391304347826086,0.68,466.963768115942,93,0.7526881720430108,0.7,459.7741935483871,95,0.7578947368421053,0.72,466.87368421052633,96,0.7083333333333334,0.68,459.9895833333333,92,0.717391304347826,0.66,460.8369565217391,99,0.5858585858585859,0.58,418.0808080808081,272,0.7352941176470589,0.625,456.8272058823529,2267,2267,83.08404278755188
