arm,seed,step,E0/n_learnable,E0/success,E0/success_all,E0/mean_steps,E1/n_learnable,E1/success,E1/success_all,E1/mean_steps,E1b/n_learnable,E1b/success,E1b/success_all,E1b/mean_steps,E2/n_learnable,E2/success,E2/success_all,E2/mean_steps,E3a/n_learnable,E3a/success,E3a/success_all,E3a/mean_steps,E3b/n_learnable,E3b/success,E3b/success_all,E3b/mean_steps,E4/n_learnable,E4/success,E4/success_all,E4/mean_steps,E5/n_learnable,E5/success,E5/success_all,E5/mean_steps,n_episodes,n_new,wall_time_sec
N,3,0,282,0.0,0.0,13.365248226950355,138,0.0,0.0,17.333333333333332,93,0.0,0.0,20.956989247311828,95,0.0,0.0,17.36842105263158,96,0.0,0.0,17.5,92,0.0,0.0,13.097826086956522,99,0.0,0.0,13.1010101010101,272,0.0,0.0,13.691176470588236,1548,1548,40.238893032073975
N,3,20480,282,0.24468085106382978,0.23,296.18794326241135,138,0.21739130434782608,0.2,290.6231884057971,93,0.26881720430107525,0.25,303.7096774193548,95,0.28421052631578947,0.27,287.10526315789474,96,0.3854166666666667,0.37,332.96875,92,0.2391304347826087,0.22,288.9347826086956,99,0.1111111111111111,0.11,221.7979797979798,272,0.3014705882352941,0.25625,292.84558823529414,1548,1548,40.238893032073975
N,3,40960,282,0.08865248226950355,0.08333333333333333,257.38652482269504,138,0.08695652173913043,0.08,258.18840579710144,93,0.03225806451612903,0.03,248.1720430107527,95,0.05263157894736842,0.05,239.25263157894736,96,0.07291666666666667,0.07,253.0,92,0.08695652173913043,0.08,256.6195652173913,99,0.050505050505050504,0.05,209.3838383838384,272,0.08088235294117647,0.06875,270.2389705882353,1548,1548,40.238893032073975
N,3,61440,282,0.2695035460992908,0.25333333333333335,347.83687943262413,138,0.2536231884057971,0.23333333333333334,351.82608695652175,93,0.1935483870967742,0.18,342.0537634408602,95,0.16842105263157894,0.16,327.0315789473684,96,0.16666666666666666,0.16,335.1041666666667,92,0.1956521739130435,0.18,338.42391304347825,99,0.15151515151515152,0.15,293.8989898989899,272,0.28308823529411764,0.240625,377.30882352941177,1548,1548,40.238893032073975
N,3,81920,282,0.4078014184397163,0.38333333333333336,412.95390070921985,138,0.4927536231884058,0.4533333333333333,433.5652173913044,93,0.40860215053763443,0.38,426.1505376344086,95,0.5473684210526316,0.52,431.2631578947368,96,0.46875,0.45,419.2604166666667,92,0.4782608695652174,0.44,422.32608695652175,99,0.45454545454545453,0.45,394.34343434343435,272,0.40808823529411764,0.346875,415.8492647058824,1548,1548,40.238893032073975
N,3,102400,282,0.15602836879432624,0.14666666666666667,300.1914893617021,138,0.11594202898550725,0.10666666666666667,301.54347826086956,93,0.10752688172043011,0.1,290.8494623655914,95,0.07368421052631578,0.07,285.70526315789476,96,0.10416666666666667,0.1,284.46875,92,0.10869565217391304,0.1,290.7391304347826,99,0.09090909090909091,0.09,251.45454545454547,272,0.1801470588235294,0.153125,325.9117647058824,1548,1548,40.238893032073975
N,3,122880,282,0.07092198581560284,0.06666666666666667,246.70212765957447,138,0.06521739130434782,0.06,238.13768115942028,93,0.010752688172043012,0.01,217.58064516129033,95,0.031578947368421054,0.03,220.29473684210527,96,0.041666666666666664,0.04,240.23958333333334,92,0.09782608695652174,0.09,246.84782608695653,99,0.06060606060606061,0.06,202.31313131313132,272,0.07720588235294118,0.065625,254.27205882352942,1548,1548,40.238893032073975
N,3,143360,282,0.07801418439716312,0.07333333333333333,243.77304964539007,138,0.050724637681159424,0.04666666666666667,233.63768115942028,93,0.010752688172043012,0.01,211.7311827956989,95,0.021052631578947368,0.02,217.13684210526316,96,0.03125,0.03,234.94791666666666,92,0.07608695652173914,0.07,239.8913043478261,99,0.050505050505050504,0.05,203.63636363636363,272,0.051470588235294115,0.04375,234.14705882352942,1548,1548,40.238893032073975
N,3,163840,282,0.10638297872340426,0.1,285.6666666666667,138,0.057971014492753624,0.05333333333333334,270.1231884057971,93,0.010752688172043012,0.01,249.0752688172043,95,0.06315789473684211,0.06,266.2526315789474,96,0.07291666666666667,0.07,281.09375,92,0.14130434782608695,0.13,285.92391304347825,99,0.08080808080808081,0.08,249.8080808080808,272,0.05514705882352941,0.046875,273.6029411764706,1548,1548,40.238893032073975
N,3,184320,282,0.08156028368794327,0.07666666666666666,267.09574468085106,138,0.043478260869565216,0.04,255.84782608695653,93,0.03225806451612903,0.03,234.48387096774192,95,0.07368421052631578,0.07,254.13684210526316,96,0.0625,0.06,266.0625,92,0.10869565217391304,0.1,268.69565217391306,99,0.0707070707070707,0.07,237.86868686868686,272,0.0661764705882353,0.05625,253.71691176470588,1548,1548,40.238893032073975
N,3,204800,282,0.5319148936170213,0.5,442.3581560283688,138,0.427536231884058,0.3933333333333333,433.8985507246377,93,0.3763440860215054,0.35,430.4731182795699,95,0.42105263157894735,0.4,429.7157894736842,96,0.4895833333333333,0.47,440.2604166666667,92,0.5108695652173914,0.47,441.10869565217394,99,0.48484848484848486,0.48,420.020202020202,272,0.3897058823529412,0.33125,435.875,1548,1548,40.238893032073975
N,1,0,282,0.0,0.0,35.02836879432624,138,0.0,0.0,33.14492753623188,93,0.0,0.0,33.89247311827957,95,0.0,0.0,33.54736842105263,96,0.0,0.0,48.864583333333336,92,0.0,0.0,39.02173913043478,99,0.0,0.0,28.67676767676768,272,0.025735294117647058,0.021875,46.77205882352941,1561,1561,40.913187980651855
N,1,20480,282,0.12411347517730496,0.11666666666666667,233.93971631205673,138,0.08695652173913043,0.08,224.0144927536232,93,0.043010752688172046,0.04,230.38709677419354,95,0.12631578947368421,0.12,222.58947368421053,96,0.13541666666666666,0.13,247.66666666666666,92,0.10869565217391304,0.1,240.2173913043478,99,0.09090909090909091,0.09,196.24242424242425,272,0.11029411764705882,0.09375,238.05514705882354,1561,1561,40.913187980651855
N,1,40960,282,0.024822695035460994,0.023333333333333334,181.3581560283688,138,0.007246376811594203,0.006666666666666667,182.2608695652174,93,0.010752688172043012,0.01,181.20430107526883,95,0.0,0.0,175.49473684210525,96,0.010416666666666666,0.01,183.79166666666666,92,0.06521739130434782,0.06,191.22826086956522,99,0.010101010101010102,0.01,158.0909090909091,272,0.011029411764705883,0.009375,184.71323529411765,1561,1561,40.913187980651855
N,1,61440,282,0.03900709219858156,0.03666666666666667,203.01418439716312,138,0.007246376811594203,0.006666666666666667,200.4855072463768,93,0.010752688172043012,0.01,203.56989247311827,95,0.031578947368421054,0.03,202.6,96,0.010416666666666666,0.01,208.08333333333334,92,0.03260869565217391,0.03,210.1086956521739,99,0.030303030303030304,0.03,179.74747474747474,272,0.014705882352941176,0.0125,203.08455882352942,1561,1561,40.913187980651855
N,1,81920,282,0.024822695035460994,0.023333333333333334,200.74468085106383,138,0.007246376811594203,0.006666666666666667,202.0,93,0.0,0.0,190.36559139784947,95,0.010526315789473684,0.01,189.8842105263158,96,0.010416666666666666,0.01,197.21875,92,0.05434782608695652,0.05,203.44565217391303,99,0.04040404040404041,0.04,168.36363636363637,272,0.025735294117647058,0.021875,216.4264705882353,1561,1561,40.913187980651855
N,1,102400,282,0.25177304964539005,0.23666666666666666,364.2269503546099,138,0.2608695652173913,0.24,368.536231884058,93,0.24731182795698925,0.23,360.7741935483871,95,0.2,0.19,348.70526315789476,96,0.16666666666666666,0.16,350.3333333333333,92,0.2717391304347826,0.25,359.4021739130435,99,0.20202020202020202,0.2,312.62626262626264,272,0.35661764705882354,0.303125,397.4117647058824,1561,1561,40.913187980651855
N,1,122880,282,0.014184397163120567,0.013333333333333334,202.06737588652481,138,0.014492753623188406,0.013333333333333334,197.96376811594203,93,0.0,0.0,181.67741935483872,95,0.021052631578947368,0.02,197.33684210526314,96,0.010416666666666666,0.01,207.94791666666666,92,0.021739130434782608,0.02,200.6086956521739,99,0.030303030303030304,0.03,187.83838383838383,272,0.011029411764705883,0.009375,193.75,1561,1561,40.913187980651855
N,1,143360,282,0.12056737588652482,0.11333333333333333,282.65248226950354,138,0.06521739130434782,0.06,270.8695652173913,93,0.010752688172043012,0.01,250.50537634408602,95,0.05263157894736842,0.05,259.38947368421054,96,0.041666666666666664,0.04,268.9270833333333,92,0.11956521739130435,0.11,275.07608695652175,99,0.050505050505050504,0.05,232.82828282828282,272,0.10294117647058823,0.0875,289.55514705882354,1561,1561,40.913187980651855
N,1,163840,282,0.9964539007092199,0.9366666666666666,499.08156028368796,138,1.0,0.92,500.0,93,1.0,0.93,500.0,95,1.0,0.95,500.0,96,1.0,0.96,500.0,92,1.0,0.92,500.0,99,0.98989898989899,0.98,495.020202020202,272,0.9338235294117647,0.79375,485.3272058823529,1561,1561,40.913187980651855
N,1,184320,282,0.6914893617021277,0.65,452.9929078014184,138,0.7391304347826086,0.68,466.963768115942,93,0.7526881720430108,0.7,459.7741935483871,95,0.7578947368421053,0.72,466.87368421052633,96,0.7083333333333334,0.68,459.9895833333333,92,0.717391304347826,0.66,460.8369565217391,99,0.5858585858585859,0.58,418.0808080808081,272,0.7352941176470589,0.625,456.8272058823529,1561,1561,40.913187980651855
N,1,204800,282,0.9645390070921985,0.9066666666666666,495.01418439716315,138,0.9855072463768116,0.9066666666666666,498.69565217391306,93,0.978494623655914,0.91,494.1290322580645,95,0.9894736842105263,0.94,498.9684210526316,96,0.9895833333333334,0.95,499.65625,92,0.967391304347826,0.89,495.6521739130435,99,0.9494949494949495,0.94,495.6666666666667,272,0.9485294117647058,0.80625,489.15808823529414,1561,1561,40.913187980651855
B_sa,1,0,282,0.0,0.0,35.02836879432624,138,0.0,0.0,33.14492753623188,93,0.0,0.0,33.89247311827957,95,0.0,0.0,33.54736842105263,96,0.0,0.0,48.864583333333336,92,0.0,0.0,39.02173913043478,99,0.0,0.0,28.67676767676768,272,0.025735294117647058,0.021875,46.77205882352941,1347,675,41.16779899597168
B_sa,1,20480,282,0.0070921985815602835,0.006666666666666667,134.81560283687944,138,0.0,0.0,129.44202898550725,93,0.0,0.0,134.08602150537635,95,0.0,0.0,123.97894736842105,96,0.0,0.0,141.04166666666666,92,0.010869565217391304,0.01,132.34782608695653,99,0.0,0.0,111.14141414141415,272,0.025735294117647058,0.021875,127.42647058823529,1347,675,41.16779899597168
