env,sampler,potential_fn,seed,step,eval_return,train_return_last20
acrobot,random,none,2,25600,-201.2888888888889,-273.95
acrobot,random,none,2,50176,-114.35555555555555,-144.35
acrobot,random,none,2,75776,-148.6,-146.25
acrobot,random,none,2,100352,-106.57777777777778,-111.15
acrobot,random,none,2,125952,-115.64444444444445,-119.35
acrobot,random,none,2,150528,-97.91111111111111,-103.3
acrobot,random,none,2,175104,-90.11111111111111,-84.4
acrobot,random,none,2,200704,-104.24444444444444,-145.2
acrobot,random,none,2,225280,-85.08888888888889,-89.95
acrobot,random,none,2,250880,-92.0,-89.7
acrobot,random,none,2,275456,-98.42222222222222,-76.3
acrobot,random,none,2,300032,-85.13333333333334,-118.9
acrobot,random,none,2,325632,-88.4,-97.15
acrobot,random,none,2,350208,-87.24444444444444,-90.4
acrobot,random,none,2,375808,-88.84444444444445,-98.45
acrobot,random,none,2,400384,-82.6,-77.15
acrobot,random,none,2,425984,-86.57777777777778,-75.7
acrobot,random,none,2,450560,-81.55555555555556,-89.85
acrobot,random,none,2,475136,-88.68888888888888,-84.3
acrobot,random,none,2,500736,-90.97777777777777,-111.75
acrobot,random,none,2,525312,-76.5111111111111,-87.8
acrobot,random,none,2,550912,-87.5111111111111,-93.15
acrobot,random,none,2,575488,-91.84444444444445,-86.1
acrobot,random,none,2,600064,-94.84444444444445,-106.55
acrobot,random,none,2,625664,-91.11111111111111,-103.45
acrobot,random,none,2,650240,-76.64444444444445,-89.5
acrobot,random,none,2,675840,-80.5111111111111,-94.85
acrobot,random,none,2,700416,-76.15555555555555,-98.15
acrobot,random,none,2,726016,-88.86666666666666,-87.35
acrobot,random,none,2,750592,-86.91111111111111,-85.25
acrobot,random,none,2,775168,-80.86666666666666,-111.65
acrobot,random,none,2,800768,-98.02222222222223,-110.95
acrobot,random,none,2,825344,-94.82222222222222,-88.15
acrobot,random,none,2,850944,-104.15555555555555,-109.0
acrobot,random,none,2,875520,-87.97777777777777,-86.85
acrobot,random,none,2,900096,-90.57777777777778,-106.2
acrobot,random,none,2,925696,-112.66666666666667,-86.25
acrobot,random,none,2,950272,-83.55555555555556,-84.85
acrobot,random,none,2,975872,-95.8,-116.25
acrobot,random,none,2,999424,-97.4888888888889,-83.95
acrobot,random,pvl_gae,2,25600,-170.0222222222222,-197.55
acrobot,random,pvl_gae,2,50176,-130.66666666666666,-163.55
acrobot,random,pvl_gae,2,75776,-106.06666666666666,-93.0
acrobot,random,pvl_gae,2,100352,-102.13333333333334,-106.75
acrobot,random,pvl_gae,2,125952,-97.64444444444445,-111.0
acrobot,random,pvl_gae,2,150528,-90.5111111111111,-91.25
acrobot,random,pvl_gae,2,175104,-87.53333333333333,-81.7
acrobot,random,pvl_gae,2,200704,-89.06666666666666,-70.0
acrobot,random,pvl_gae,2,225280,-83.77777777777777,-78.85
acrobot,random,pvl_gae,2,250880,-91.73333333333333,-83.3
acrobot,random,pvl_gae,2,275456,-76.64444444444445,-71.75
acrobot,random,pvl_gae,2,300032,-81.0,-66.75
acrobot,random,pvl_gae,2,325632,-77.06666666666666,-69.6
acrobot,random,pvl_gae,2,350208,-87.22222222222223,-69.2
acrobot,random,pvl_gae,2,375808,-78.97777777777777,-94.2
acrobot,random,pvl_gae,2,400384,-78.93333333333334,-74.5
acrobot,random,pvl_gae,2,425984,-84.93333333333334,-68.75
acrobot,random,pvl_gae,2,450560,-79.17777777777778,-80.6
acrobot,random,pvl_gae,2,475136,-78.64444444444445,-82.75
acrobot,random,pvl_gae,2,500736,-79.2,-73.65
acrobot,random,pvl_gae,2,525312,-84.57777777777778,-76.8
acrobot,random,pvl_gae,2,550912,-77.5111111111111,-75.45
acrobot,random,pvl_gae,2,575488,-87.71111111111111,-79.8
acrobot,random,pvl_gae,2,600064,-90.28888888888889,-101.1
acrobot,random,pvl_gae,2,625664,-80.66666666666667,-68.85
acrobot,random,pvl_gae,2,650240,-87.4888888888889,-96.55
acrobot,random,pvl_gae,2,675840,-94.73333333333333,-90.55
acrobot,random,pvl_gae,2,700416,-79.88888888888889,-87.85
acrobot,random,pvl_gae,2,726016,-93.88888888888889,-74.8
acrobot,random,pvl_gae,2,750592,-88.0,-90.9
acrobot,random,pvl_gae,2,775168,-77.11111111111111,-113.15
acrobot,random,pvl_gae,2,800768,-80.8,-69.6
acrobot,random,pvl_gae,2,825344,-113.44444444444444,-82.85
acrobot,random,pvl_gae,2,850944,-79.91111111111111,-63.6
acrobot,random,pvl_gae,2,875520,-83.44444444444444,-80.2
acrobot,random,pvl_gae,2,900096,-75.28888888888889,-70.95
acrobot,random,pvl_gae,2,925696,-82.11111111111111,-69.25
acrobot,random,pvl_gae,2,950272,-81.0,-87.8
acrobot,random,pvl_gae,2,975872,-79.75555555555556,-68.8
acrobot,random,pvl_gae,2,999424,-79.15555555555555,-81.9
acrobot,sa,pvl_gae,2,25600,-229.51111111111112,-352.2
acrobot,sa,pvl_gae,2,50176,-125.46666666666667,-140.35
acrobot,sa,pvl_gae,2,75776,-108.6,-142.05
acrobot,sa,pvl_gae,2,100352,-105.02222222222223,-117.85
acrobot,sa,pvl_gae,2,125952,-106.62222222222222,-102.85
acrobot,sa,pvl_gae,2,150528,-83.82222222222222,-89.9
acrobot,sa,pvl_gae,2,175104,-79.4888888888889,-83.3
acrobot,sa,pvl_gae,2,200704,-89.08888888888889,-92.7
acrobot,sa,pvl_gae,2,225280,-87.33333333333333,-79.8
acrobot,sa,pvl_gae,2,250880,-89.17777777777778,-97.9
acrobot,sa,pvl_gae,2,275456,-92.22222222222223,-76.35
acrobot,sa,pvl_gae,2,300032,-89.24444444444444,-95.6
