env,sampler,potential_fn,seed,step,eval_return,train_return_last20
cartpole,random,none,2,25600,106.37777777777778,109.55
cartpole,random,none,2,50176,150.82222222222222,148.7
cartpole,random,none,2,75776,247.82222222222222,229.3
cartpole,random,none,2,100352,269.0,264.5
cartpole,random,none,2,125952,192.42222222222222,176.4
cartpole,random,none,2,150528,199.55555555555554,175.0
cartpole,random,none,2,175104,222.66666666666666,174.3
cartpole,random,none,2,200704,362.8222222222222,253.95
cartpole,random,none,2,225280,396.55555555555554,364.9
cartpole,random,none,2,250880,447.26666666666665,484.9
cartpole,random,none,2,275456,381.4888888888889,301.1
cartpole,random,none,2,300032,458.5111111111111,476.5
cartpole,random,none,2,325632,450.0444444444444,462.3
cartpole,random,none,2,350208,469.6,420.75
cartpole,random,none,2,375808,401.93333333333334,425.15
cartpole,random,none,2,400384,410.06666666666666,290.4
cartpole,random,none,2,425984,453.2888888888889,409.7
cartpole,random,none,2,450560,466.35555555555555,401.35
cartpole,random,none,2,475136,416.35555555555555,414.15
cartpole,random,none,2,500736,423.75555555555553,332.65
cartpole,random,none,2,525312,417.8888888888889,415.45
cartpole,random,none,2,550912,373.9111111111111,445.95
cartpole,random,none,2,575488,370.8666666666667,406.1
cartpole,random,none,2,600064,428.75555555555553,373.8
cartpole,random,none,2,625664,385.4,322.0
cartpole,random,none,2,650240,448.02222222222224,442.6
cartpole,random,none,2,675840,383.3333333333333,454.65
cartpole,random,none,2,700416,380.1333333333333,456.65
cartpole,random,none,2,726016,391.8222222222222,332.5
cartpole,random,none,2,750592,368.7111111111111,319.95
cartpole,random,none,2,775168,434.06666666666666,386.0
cartpole,random,none,2,800768,352.97777777777776,424.5
cartpole,random,none,2,825344,452.53333333333336,361.25
cartpole,random,none,2,850944,477.8222222222222,450.1
cartpole,random,none,2,875520,472.22222222222223,443.65
cartpole,random,none,2,900096,458.4888888888889,450.1
cartpole,random,none,2,925696,385.5111111111111,436.15
cartpole,random,none,2,950272,440.22222222222223,340.15
cartpole,random,none,2,975872,400.44444444444446,456.55
cartpole,random,none,2,999424,477.8222222222222,438.8
