env,sampler,potential_fn,seed,step,eval_return,train_return_last20
pendulum,random,none,2,50176,-1130.6801968841007,-1186.5873960428555
pendulum,random,none,2,100352,-1089.2419684575257,-1097.5911909260685
pendulum,random,none,2,150528,-1096.0273415660752,-1085.74310779647
pendulum,random,none,2,200704,-1043.2655485112655,-1127.88308264351
pendulum,random,none,2,250880,-1006.3258162104186,-1129.6491671968863
pendulum,random,none,2,300032,-1263.2395075784214,-1230.971025078716
pendulum,random,none,2,350208,-1097.3714770484144,-1085.8711308195038
pendulum,random,none,2,400384,-1044.650160738782,-1134.9713560068324
pendulum,random,none,2,450560,-1073.212244738116,-1201.374191522126
pendulum,random,none,2,500736,-1056.0408518226593,-1105.5122127606833
pendulum,random,none,2,550912,-1133.667877247718,-1208.7363551664025
pendulum,random,none,2,600064,-1031.5239237377907,-1030.5290341377513
pendulum,random,none,2,650240,-1051.3647641066786,-1018.2976204721732
pendulum,random,none,2,700416,-997.410806991958,-967.9119338845034
pendulum,random,none,2,750592,-946.4008328089116,-877.29846913487
pendulum,random,none,2,800768,-983.4205774398907,-1139.6765512382785
pendulum,random,none,2,850944,-971.6523064363727,-1074.1848680871856
pendulum,random,none,2,900096,-926.2782521398312,-1019.8369934543322
pendulum,random,none,2,950272,-941.8044966812718,-1171.5722698944082
pendulum,random,none,2,1000448,-984.3907947045768,-1145.0389256119017
pendulum,random,none,2,1050624,-965.6101185371566,-1197.6192583849609
pendulum,random,none,2,1100800,-915.8389333254906,-1186.9692864028323
pendulum,random,none,2,1150976,-904.1569265773562,-914.5158568571057
pendulum,random,none,2,1200128,-915.7464713143111,-993.7139199207413
pendulum,random,none,2,1250304,-974.9414668426172,-1060.2834850571674
pendulum,random,none,2,1300480,-959.2771873079533,-948.6355158294991
pendulum,random,none,2,1350656,-933.4255953494018,-944.7620370254183
pendulum,random,none,2,1400832,-891.1102629452135,-802.2714476079084
pendulum,random,none,2,1451008,-921.4195771082893,-1138.2415359875392
pendulum,random,none,2,1500160,-966.3481245626313,-894.8808321993598
pendulum,random,none,2,1550336,-890.2860938442782,-1036.6760951904341
pendulum,random,none,2,1600512,-861.1217588055898,-932.9413369894595
pendulum,random,none,2,1650688,-937.8260476350212,-1209.137013807257
pendulum,random,none,2,1700864,-883.9681513674361,-946.2877356528292
pendulum,random,none,2,1750016,-865.3551532704435,-1063.6753476075692
pendulum,random,none,2,1800192,-968.0136043856622,-1218.2750676051403
pendulum,random,none,2,1850368,-877.4946462350432,-861.0737781840829
pendulum,random,none,2,1900544,-870.2923188322771,-1064.436471613998
pendulum,random,none,2,1950720,-877.4232583318571,-1047.6982882061689
pendulum,random,none,2,2000896,-892.1545802566634,-1101.3871918245272
pendulum,random,none,2,2050048,-908.6104728812517,-803.2959329270419
pendulum,random,none,2,2100224,-869.6380047943708,-1030.124770408976
pendulum,random,none,2,2150400,-849.820642636533,-1054.891807340457
pendulum,random,none,2,2200576,-838.047703252872,-1068.90954737516
pendulum,random,none,2,2250752,-851.371996714249,-873.7363893896238
pendulum,random,none,2,2300928,-865.5327782123549,-1078.5830080932667
pendulum,random,none,2,2350080,-882.4625399847521,-1077.555105005639
pendulum,random,none,2,2400256,-866.1896522438796,-1171.1638899149107
pendulum,random,none,2,2450432,-873.3791225886893,-860.0878974825142
pendulum,random,none,2,2500608,-876.9923793288464,-1065.8939840654944
pendulum,random,none,2,2550784,-847.9980429133909,-1008.2498086932579
pendulum,random,none,2,2600960,-907.7949905444378,-853.4552571743116
pendulum,random,none,2,2650112,-843.3466377352416,-950.881235735162
pendulum,random,none,2,2700288,-905.1172732873847,-1007.6638356524778
pendulum,random,none,2,2750464,-872.4444959435931,-763.4818075002242
pendulum,random,none,2,2800640,-845.8947822492819,-1124.0884290202953
pendulum,random,none,2,2850816,-856.0165028873985,-765.0764100792388
pendulum,random,none,2,2900992,-857.3352085957886,-1004.0201873209187
pendulum,random,none,2,2950144,-843.9492610197796,-921.8635777144751
pendulum,random,none,2,2999296,-863.3375956928347,-1066.715356707839
pendulum,random,pvl_gae,2,50176,-1227.7096440054981,-1228.1335678676899
pendulum,random,pvl_gae,2,100352,-1146.1158391181516,-1060.8742782864888
pendulum,random,pvl_gae,2,150528,-1090.9454815418385,-1137.3124101340838
pendulum,random,pvl_gae,2,200704,-1063.3787373532655,-1161.1242473890102
pendulum,random,pvl_gae,2,250880,-1030.0626210928478,-985.4692583613648
pendulum,random,pvl_gae,2,300032,-1035.210193106144,-1209.2972370636323
pendulum,random,pvl_gae,2,350208,-1118.8416913468204,-1286.9541970258829
pendulum,random,pvl_gae,2,400384,-1129.3057673833746,-1072.9479355746405
pendulum,random,pvl_gae,2,450560,-1118.1968909288046,-1277.3867663668648
pendulum,random,pvl_gae,2,500736,-1050.190983470219,-1063.3604179716783
pendulum,random,pvl_gae,2,550912,-1047.069229548278,-932.0464589417616
pendulum,random,pvl_gae,2,600064,-945.3759875092777,-934.388241232496
pendulum,random,pvl_gae,2,650240,-970.9705597887755,-979.9421869124665
