arm,seed,step,random/n,random/success,random/mean_steps,verifai/n,verifai/success,verifai/mean_steps
A,1,61440,282,0.12411347517730496,256.01063829787233,1782,0.0,112.1604938271605
A,1,122880,282,0.1595744680851064,303.0886524822695,1782,0.0005611672278338945,137.22109988776654
A,1,184320,282,0.0070921985815602835,207.31205673758865,1782,0.0,118.5297418630752
A,1,245760,282,0.5815602836879432,433.6843971631206,1782,0.0005611672278338945,177.13860830527497
A,1,307200,282,0.851063829787234,488.39716312056737,1782,0.01964085297418631,166.83389450056117
A,1,368640,282,0.9964539007092199,498.50354609929076,1782,0.9006734006734006,460.89337822671155
A,1,430080,282,0.9397163120567376,494.37943262411346,1782,0.3479236812570146,261.2749719416386
A,1,491520,282,0.9645390070921985,491.3014184397163,1782,0.001122334455667789,64.54040404040404
A,1,552960,282,0.975177304964539,488.8156028368794,1782,0.0016835016835016834,56.29349046015712
A,1,614400,282,0.9858156028368794,493.6276595744681,1782,0.0016835016835016834,55.67115600448934
A,10,61440,282,0.08156028368794327,225.7127659574468,1782,0.0,111.96184062850729
A,10,122880,282,0.40070921985815605,428.57801418439715,1782,0.4405162738496072,325.969696969697
A,10,184320,282,0.04964539007092199,236.39716312056737,1782,0.0005611672278338945,107.14590347923681
A,10,245760,282,0.975177304964539,494.75531914893617,1782,0.9517396184062851,480.83389450056114
A,10,307200,282,0.9290780141843972,492.09574468085106,1782,0.12962962962962962,209.01234567901236
A,10,368640,282,0.6312056737588653,470.6099290780142,1782,0.0005611672278338945,117.6638608305275
A,10,430080,282,0.9893617021276596,495.7659574468085,1782,0.4163860830527497,256.90684624017956
A,10,491520,282,0.9858156028368794,495.84751773049646,1782,0.2962962962962963,200.42255892255892
A,10,552960,282,0.43617021276595747,442.57801418439715,1782,0.2867564534231201,263.794051627385
A,10,614400,282,0.9858156028368794,493.6843971631206,1782,0.0016835016835016834,58.003367003367
A,100,61440,282,0.2127659574468085,309.8829787234043,1782,0.0,136.31762065095398
A,100,122880,282,0.3971631205673759,399.1276595744681,1782,0.0005611672278338945,160.8641975308642
A,100,184320,282,0.2553191489361702,424.6666666666667,1782,0.1026936026936027,201.94781144781146
A,100,245760,282,0.1099290780141844,272.6985815602837,1782,0.0,127.29124579124579
A,100,307200,282,0.975177304964539,495.1737588652482,1782,0.8973063973063973,458.66329966329965
A,100,368640,282,0.5673758865248227,386.79432624113474,1782,0.050505050505050504,193.0331088664422
A,100,430080,282,0.9326241134751773,485.1418439716312,1782,0.6240179573512907,348.48092031425364
A,100,491520,282,0.8297872340425532,457.8262411347518,1782,0.10662177328843996,205.5381593714927
A,100,552960,282,0.9929078014184397,498.09574468085106,1782,0.8024691358024691,419.49887766554434
A,100,614400,282,0.9858156028368794,495.9468085106383,1782,0.8793490460157127,451.5617283950617
