arm,seed,learning_rate,step,E0/n_learnable,E0/success,E0/success_all,E0/mean_steps,E1/n_learnable,E1/success,E1/success_all,E1/mean_steps,E1b/n_learnable,E1b/success,E1b/success_all,E1b/mean_steps,E2/n_learnable,E2/success,E2/success_all,E2/mean_steps,E3a/n_learnable,E3a/success,E3a/success_all,E3a/mean_steps,E3b/n_learnable,E3b/success,E3b/success_all,E3b/mean_steps,E4/n_learnable,E4/success,E4/success_all,E4/mean_steps,E5/n_learnable,E5/success,E5/success_all,E5/mean_steps,n_episodes,n_new,wall_time_sec
N,3,3e-05,0,282,0.0,0.0,13.365248226950355,138,0.0,0.0,17.333333333333332,93,0.0,0.0,20.956989247311828,95,0.0,0.0,17.36842105263158,96,0.0,0.0,17.5,92,0.0,0.0,13.097826086956522,99,0.0,0.0,13.1010101010101,272,0.0,0.0,13.691176470588236,7082,7082,85.22783899307251
N,3,3e-05,20480,282,0.0070921985815602835,0.006666666666666667,66.60992907801419,138,0.0,0.0,57.492753623188406,93,0.0,0.0,59.38709677419355,95,0.0,0.0,58.8,96,0.010416666666666666,0.01,75.69791666666667,92,0.0,0.0,66.47826086956522,99,0.010101010101010102,0.01,49.898989898989896,272,0.007352941176470588,0.00625,87.5220588235294,7082,7082,85.22783899307251
N,3,3e-05,40960,282,0.0,0.0,63.00709219858156,138,0.0,0.0,57.492753623188406,93,0.0,0.0,58.333333333333336,95,0.0,0.0,58.49473684210526,96,0.0,0.0,67.79166666666667,92,0.0,0.0,63.46739130434783,99,0.010101010101010102,0.01,51.38383838383838,272,0.014705882352941176,0.0125,84.73529411764706,7082,7082,85.22783899307251
N,3,3e-05,61440,282,0.0,0.0,68.13120567375887,138,0.0,0.0,60.58695652173913,93,0.0,0.0,62.54838709677419,95,0.0,0.0,60.463157894736845,96,0.010416666666666666,0.01,73.11458333333333,92,0.0,0.0,70.5,99,0.010101010101010102,0.01,56.37373737373738,272,0.01838235294117647,0.015625,93.27941176470588,7082,7082,85.22783899307251
N,3,3e-05,81920,282,0.014184397163120567,0.013333333333333334,76.81205673758865,138,0.0,0.0,66.22463768115942,93,0.0,0.0,67.88172043010752,95,0.0,0.0,64.63157894736842,96,0.010416666666666666,0.01,82.05208333333333,92,0.0,0.0,78.20652173913044,99,0.0,0.0,52.93939393939394,272,0.029411764705882353,0.025,101.78676470588235,7082,7082,85.22783899307251
N,3,3e-05,102400,282,0.0070921985815602835,0.006666666666666667,81.71985815602837,138,0.0,0.0,71.84782608695652,93,0.0,0.0,72.52688172043011,95,0.0,0.0,68.63157894736842,96,0.010416666666666666,0.01,87.11458333333333,92,0.0,0.0,79.30434782608695,99,0.010101010101010102,0.01,60.343434343434346,272,0.022058823529411766,0.01875,107.65441176470588,7082,7082,85.22783899307251
N,3,3e-05,122880,282,0.02127659574468085,0.02,91.66312056737588,138,0.0,0.0,80.1376811594203,93,0.0,0.0,82.78494623655914,95,0.010526315789473684,0.01,77.38947368421053,96,0.010416666666666666,0.01,97.8125,92,0.010869565217391304,0.01,93.3586956521739,99,0.010101010101010102,0.01,66.39393939393939,272,0.04779411764705882,0.040625,117.12132352941177,7082,7082,85.22783899307251
N,3,3e-05,143360,282,0.028368794326241134,0.02666666666666667,104.68085106382979,138,0.0,0.0,91.56521739130434,93,0.0,0.0,95.70967741935483,95,0.0,0.0,89.2,96,0.020833333333333332,0.02,111.45833333333333,92,0.021739130434782608,0.02,111.46739130434783,99,0.020202020202020204,0.02,77.74747474747475,272,0.05514705882352941,0.046875,128.9191176470588,7082,7082,85.22783899307251
N,3,3e-05,163840,282,0.0425531914893617,0.04,134.5744680851064,138,0.0,0.0,125.16666666666667,93,0.010752688172043012,0.01,124.36559139784946,95,0.010526315789473684,0.01,118.96842105263158,96,0.041666666666666664,0.04,142.0625,92,0.05434782608695652,0.05,136.52173913043478,99,0.020202020202020204,0.02,97.87878787878788,272,0.07720588235294118,0.065625,154.4889705882353,7082,7082,85.22783899307251
N,3,3e-05,184320,282,0.08156028368794327,0.07666666666666666,192.4078014184397,138,0.028985507246376812,0.02666666666666667,189.44927536231884,93,0.043010752688172046,0.04,191.05376344086022,95,0.042105263157894736,0.04,176.18947368421053,96,0.0625,0.06,201.5,92,0.08695652173913043,0.08,194.68478260869566,99,0.010101010101010102,0.01,140.37373737373738,272,0.09558823529411764,0.08125,214.38970588235293,7082,7082,85.22783899307251
