arm,seed,run_seed,learning_rate,step,E0/n,E0/success,E0/mean_steps,E1/n,E1/success,E1/mean_steps,E1b/n,E1b/success,E1b/mean_steps,E2/n,E2/success,E2/mean_steps,E3a/n,E3a/success,E3a/mean_steps,E3b/n,E3b/success,E3b/mean_steps,E4/n,E4/success,E4/mean_steps,E5/n,E5/success,E5/mean_steps,n_episodes,n_new,wall_time_sec
N,2,359346417,0.0003,0,282,0.0,12.75886524822695,138,0.0,17.347826086956523,93,0.0,19.49462365591398,95,0.0,16.294736842105262,96,0.0,17.40625,92,0.0,12.98913043478261,99,0.0,12.393939393939394,272,0.0,13.676470588235293,4207,4207,276.60360503196716
N,2,359346417,0.0003,20480,282,0.02127659574468085,170.63829787234042,138,0.0,170.92753623188406,93,0.0,171.0752688172043,95,0.042105263157894736,179.89473684210526,96,0.0,181.30208333333334,92,0.03260869565217391,182.54347826086956,99,0.010101010101010102,142.83838383838383,272,0.04044117647058824,164.40808823529412,4207,4207,276.60360503196716
N,2,359346417,0.0003,40960,282,0.10283687943262411,259.32978723404256,138,0.11594202898550725,249.90579710144928,93,0.053763440860215055,245.08602150537635,95,0.08421052631578947,238.0421052631579,96,0.13541666666666666,265.1458333333333,92,0.09782608695652174,258.67391304347825,99,0.050505050505050504,212.11111111111111,272,0.0661764705882353,252.25367647058823,4207,4207,276.60360503196716
N,2,359346417,0.0003,61440,282,0.01773049645390071,176.68794326241135,138,0.007246376811594203,171.8985507246377,93,0.010752688172043012,169.33333333333334,95,0.0,163.98947368421054,96,0.010416666666666666,182.55208333333334,92,0.021739130434782608,183.20652173913044,99,0.020202020202020204,153.62626262626262,272,0.003676470588235294,180.86764705882354,4207,4207,276.60360503196716
N,2,359346417,0.0003,81920,282,0.1879432624113475,329.16312056737587,138,0.11594202898550725,323.6376811594203,93,0.17204301075268819,322.6559139784946,95,0.1368421052631579,311.1684210526316,96,0.14583333333333334,318.125,92,0.20652173913043478,325.4782608695652,99,0.1414141414141414,278.6969696969697,272,0.23529411764705882,355.75735294117646,4207,4207,276.60360503196716
N,2,359346417,0.0003,102400,282,0.1773049645390071,320.0744680851064,138,0.16666666666666666,306.1231884057971,93,0.11827956989247312,297.6236559139785,95,0.15789473684210525,300.6842105263158,96,0.1875,314.5729166666667,92,0.17391304347826086,315.4347826086956,99,0.1111111111111111,265.4141414141414,272,0.11397058823529412,320.25367647058823,4207,4207,276.60360503196716
N,2,359346417,0.0003,122880,282,0.6985815602836879,458.9609929078014,138,0.6956521739130435,469.22463768115944,93,0.7096774193548387,472.48387096774195,95,0.7157894736842105,465.3263157894737,96,0.78125,484.1770833333333,92,0.7608695652173914,474.2826086956522,99,0.6565656565656566,440.24242424242425,272,0.6727941176470589,448.48161764705884,4207,4207,276.60360503196716
N,2,359346417,0.0003,143360,282,0.0851063829787234,238.24113475177305,138,0.028985507246376812,223.78985507246378,93,0.010752688172043012,223.16129032258064,95,0.07368421052631578,221.2842105263158,96,0.0625,226.73958333333334,92,0.13043478260869565,255.5,99,0.050505050505050504,197.010101010101,272,0.08088235294117647,269.0220588235294,4207,4207,276.60360503196716
N,2,359346417,0.0003,163840,282,0.04609929078014184,285.43971631205676,138,0.021739130434782608,281.7826086956522,93,0.043010752688172046,282.93548387096774,95,0.021052631578947368,289.4947368421053,96,0.041666666666666664,279.1145833333333,92,0.03260869565217391,285.9021739130435,99,0.08080808080808081,290.010101010101,272,0.051470588235294115,282.95588235294116,4207,4207,276.60360503196716
N,2,359346417,0.0003,184320,282,0.03546099290780142,184.75177304964538,138,0.0,182.8768115942029,93,0.010752688172043012,179.1290322580645,95,0.0,186.2,96,0.0,179.77083333333334,92,0.0,182.3913043478261,99,0.010101010101010102,180.13131313131314,272,0.03308823529411765,185.42279411764707,4207,4207,276.60360503196716
