arm,seed,run_seed,step,random/n,random/success,random/mean_steps,verifai/n,verifai/success,verifai/mean_steps,n_episodes,n_new,wall_time_sec
N,2,359346417,0,298,0.3221476510067114,178.7281879194631,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,10240,298,0.3053691275167785,164.46308724832215,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,20480,298,0.14093959731543623,177.94295302013424,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,30720,298,0.0,200.0,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,40960,298,0.0,200.0,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,51200,298,0.0,200.0,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,61440,298,0.0,200.0,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,71680,298,0.0,200.0,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,81920,298,0.0,200.0,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,92160,298,0.0,200.0,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,102400,298,0.0,200.0,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,112640,298,0.0,200.0,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,122880,298,0.0,200.0,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,133120,298,0.0,200.0,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,143360,298,0.0,200.0,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,153600,298,0.0,200.0,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,163840,298,0.0,200.0,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,174080,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,184320,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,194560,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,204800,298,0.0,200.0,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,215040,298,0.030201342281879196,195.44630872483222,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,225280,298,0.18456375838926176,172.90604026845637,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,235520,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,245760,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,256000,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,266240,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,276480,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,286720,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,296960,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1594,1594,90.06995296478271
N,2,359346417,307200,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1594,1594,90.06995296478271
S_sa,1,4289987063,0,298,0.003355704697986577,199.44295302013424,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,10240,298,0.006711409395973154,198.85906040268458,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,20480,298,0.0436241610738255,192.5771812080537,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,30720,298,0.48322147651006714,119.94630872483222,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,40960,298,0.5503355704697986,109.36577181208054,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,51200,298,0.5906040268456376,102.13422818791946,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,61440,298,0.6510067114093959,93.30872483221476,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,71680,298,0.6711409395973155,90.54026845637584,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,81920,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,92160,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,102400,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,112640,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,122880,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,133120,298,0.6711409395973155,90.52348993288591,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,143360,298,0.6677852348993288,91.1241610738255,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,153600,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,163840,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,174080,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,184320,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,194560,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,204800,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,215040,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,225280,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,235520,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,245760,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,256000,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,266240,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,276480,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,286720,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,296960,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
S_sa,1,4289987063,307200,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2146,2146,90.5812041759491
N,1,596351397,0,298,0.0,200.0,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,10240,298,0.3187919463087248,151.04026845637583,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,20480,298,0.36577181208053694,149.96308724832215,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,30720,298,0.13758389261744966,180.56375838926175,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,40960,298,0.49328859060402686,120.40939597315436,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,51200,298,0.6342281879194631,96.01342281879195,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,61440,298,0.6711409395973155,90.48993288590604,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,71680,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,81920,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,92160,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,102400,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,112640,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,122880,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,133120,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,143360,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,153600,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,163840,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,174080,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,184320,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,194560,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,204800,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,215040,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,225280,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,235520,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,245760,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,256000,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,266240,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,276480,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,286720,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,296960,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
N,1,596351397,307200,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,2784,2784,90.65994715690613
A,1,923506710,0,298,0.0,200.0,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,10240,298,0.39932885906040266,138.43959731543623,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,20480,298,0.4697986577181208,124.86241610738254,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,30720,298,0.4429530201342282,128.7785234899329,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,40960,298,0.47315436241610737,124.27852348993288,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,51200,298,0.4966442953020134,118.58389261744966,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,61440,298,0.4966442953020134,120.04362416107382,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,71680,298,0.5234899328859061,123.6006711409396,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,81920,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,92160,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,102400,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,112640,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,122880,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,133120,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,143360,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,153600,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,163840,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,174080,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,184320,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,194560,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,204800,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,215040,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,225280,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,235520,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,245760,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,256000,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,266240,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,276480,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,286720,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
